HSA Number,HSA Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
39132,PA-Waynesboro,9144,3.71,3.87
39133,PA-Waynesburg,5252,5.02,5.05
39134,PA-Wellsboro,7762,4.43,4.55
39135,PA-West Chester,27461,3.82,3.93
39136,PA-West Grove,9600,3.74,3.94
39137,PA-Wilkes-Barre,39584,4.86,5.13
39138,PA-Williamsport,14951,4.68,4.90
39139,PA-Windber,3481,4.04,4.48
39140,PA-York,56096,4.46,4.63
41002,RI-Newport,11194,4.03,4.23
41004,RI-Pawtucket,10359,4.06,4.28
41005,RI-Providence,72401,4.05,4.24
41006,RI-Wakefield,11682,3.92,3.72
41007,RI-Warwick,32931,4.39,4.67
41008,RI-Westerly,10441,3.82,4.01
41009,RI-Woonsocket,20449,4.39,4.42
42001,SC-Abbeville,3219,4.65,4.68
42002,SC-Aiken,18675,4.48,4.57
42003,SC-Anderson,29286,4.62,4.75
42004,SC-Bamberg,2380,4.87,4.87
42005,SC-Barnwell,2437,5.00,4.95
42006,SC-Beaufort,11389,4.77,4.67
42007,SC-Bennettsville,3760,5.98,6.19
42008,SC-Bishopville,1800,4.87,4.96
42009,SC-Camden,7787,4.73,4.92
42010,SC-Charleston,80357,4.17,4.18
42011,SC-Cheraw,4612,5.60,5.95
42012,SC-Chester,4778,5.63,5.74
42013,SC-Clinton,7285,5.14,5.49
42014,SC-Columbia,55879,4.26,4.27
42015,SC-Conway,16972,4.93,5.07
42017,SC-Dillon,3565,5.16,5.04
42018,SC-Easley,13758,4.88,5.08
42019,SC-Edgefield,1158,3.62,4.19
42020,SC-Fairfax,1740,5.09,5.58
42021,SC-Florence,29286,5.03,5.09
42022,SC-Gaffney,7469,5.18,5.37
42023,SC-Georgetown,11451,4.28,4.17
42024,SC-Greenville,62558,4.42,4.44
42025,SC-Greenwood,17629,4.27,4.41
42026,SC-Greer,11114,4.53,4.54
42027,SC-Hartsville,5541,5.64,5.53
42028,SC-Hilton Head Island,28395,3.02,3.04
42029,SC-Kingstree,3082,4.83,4.95
42031,SC-Lancaster,15827,4.58,4.65
42033,SC-Loris,7584,5.31,5.31
42034,SC-Manning,5438,5.08,5.26
42035,SC-Marion,3023,5.16,5.21
42036,SC-Mount Pleasant,13832,3.81,3.81
42037,SC-Mullins,2629,7.06,6.60
42038,SC-Myrtle Beach,44253,4.09,4.20
42039,SC-Newberry,5352,4.74,4.67
42040,SC-Orangeburg,14872,4.98,5.08
42041,SC-Pickens,4420,5.19,5.54
42042,SC-Ridgeland,1675,5.71,5.98
42043,SC-Rock Hill,31666,4.93,5.11
42044,SC-Seneca,15631,4.61,4.79
42046,SC-Spartanburg,39637,5.01,5.08
42047,SC-Sumter,15508,4.79,4.88
42048,SC-Union,4524,5.47,5.55
42049,SC-Varnville,2379,5.51,5.50
42050,SC-Walterboro,5916,5.26,5.39
42051,SC-West Columbia,30847,4.72,4.63
42052,SC-Winnsboro,2416,4.70,4.73
42053,SC-Woodruff,2167,5.98,6.26
43001,SD-Aberdeen,8020,4.40,4.63
43002,SD-Armour,529,4.60,
43003,SD-Belle Fourche,1556,4.07,4.05
43004,SD-Bowdle,174,,
43005,SD-Britton,720,3.96,3.96
43006,SD-Brookings,4384,3.99,4.20
43007,SD-Burke,330,,
43009,SD-Chamberlain,1266,4.04,4.33
43010,SD-Clear Lake,566,4.12,
43013,SD-Deadwood,1056,4.24,4.45
43014,SD-Dell Rapids,755,3.97,
43016,SD-Eureka,545,3.69,3.86
43017,SD-Faulkton,386,,
43019,SD-Freeman,558,4.01,4.07
43020,SD-Gettysburg,461,,
43021,SD-Gregory,968,3.56,4.06
43023,SD-Hoven,45,,
43024,SD-Huron,3169,4.47,4.73
43026,SD-Madison,2423,3.45,3.84
43027,SD-Martin,393,,
43028,SD-Milbank,972,4.22,4.93
43029,SD-Miller,983,3.58,3.57
43030,SD-Mitchell,6043,4.30,4.37
43031,SD-Mobridge,1917,3.49,3.54
43032,SD-Parkston,933,3.47,4.12
43033,SD-Philip,410,,
43034,SD-Pierre,3576,3.95,4.12
43035,SD-Platte,653,2.16,2.26
43036,SD-Rapid City,24407,3.84,4.17
43037,SD-Redfield,704,2.72,2.59
43038,SD-Scotland,331,,
43039,SD-Sioux Falls,39282,3.91,4.21
43040,SD-Sisseton,1366,4.65,4.86
43041,SD-Spearfish,3218,3.84,4.07
43042,SD-Sturgis,2210,4.16,4.56
43043,SD-Tyndall,872,4.08,4.18
43044,SD-Vermillion,1235,3.85,4.21
43045,SD-Viborg,300,,
43046,SD-Wagner,960,4.88,5.24
43047,SD-Watertown,6416,4.55,5.09
43048,SD-Webster,1248,3.44,3.92
43049,SD-Wessington Springs,399,,
43050,SD-Winner,1206,3.83,3.93
43051,SD-Yankton,6057,4.43,4.85
43052,SD-Eagle Butte,443,,
43053,SD-Pine Ridge,554,,
43054,SD-Rosebud,661,,
44001,TN-Athens,7364,5.95,6.14
44003,TN-Bristol,13186,5.62,6.19
44004,TN-Brownsville,2758,4.43,4.30
44005,TN-Camden,2779,5.59,6.07
44006,TN-Carthage,2884,5.73,5.85
44007,TN-Celina,863,5.74,5.52
44008,TN-Centerville,1874,5.64,5.89
44009,TN-Chattanooga,69136,4.71,5.00
44010,TN-Clarksville,17014,5.41,5.54
44011,TN-Cleveland,18827,5.17,5.58
44012,TN-Columbia,14519,5.19,5.48
44013,TN-Cookeville,11977,4.86,5.22
44014,TN-Copperhill,1238,4.46,4.79
44015,TN-Covington,3110,5.36,5.31
44016,TN-Crossville,18245,4.39,4.49
44017,TN-Dayton,2885,6.31,6.31
44018,TN-Dickson,10550,5.25,5.58
44020,TN-Dyersburg,6153,5.51,5.56
44022,TN-Erin,1807,4.57,4.65
44023,TN-Erwin,2960,6.35,7.19
44024,TN-Etowah,3189,5.88,5.71
44025,TN-Fayetteville,5688,5.07,5.17
44026,TN-Franklin,16962,3.86,4.38
44027,TN-Gainesboro,1865,4.64,4.98
44028,TN-Gallatin,9897,4.84,5.29
44030,TN-Greeneville,13683,5.35,5.76
44031,TN-Harriman,3532,5.55,5.81
44032,TN-Hartsville,1059,6.62,7.53
44033,TN-Hendersonville,8758,4.20,4.70
44036,TN-Huntingdon,3647,5.50,5.40
44037,TN-Jackson,29744,4.89,5.01
44038,TN-Jamestown,2808,4.89,4.96
44039,TN-Jefferson City,3396,4.35,4.64
44040,TN-Jellico,1070,8.04,
44041,TN-Johnson City,33142,5.09,5.50
44042,TN-Kingsport,31034,5.24,5.84
44043,TN-Knoxville,98178,5.00,5.18
44044,TN-La Follette,6122,5.40,5.80
44045,TN-Lafayette,3027,6.62,7.08
44046,TN-Lawrenceburg,6634,5.19,5.34
44047,TN-Lebanon,9207,5.35,5.54
44048,TN-Lewisburg,4590,4.95,5.24
44049,TN-Lexington,3442,5.77,5.98
44050,TN-Linden,1899,5.26,5.28
44051,TN-Livingston,4877,5.09,5.21
44053,TN-Madison,15326,4.80,5.11
44054,TN-Manchester,5266,5.31,4.96
44055,TN-Martin,4709,4.64,4.69
44056,TN-Maryville,22324,4.77,4.77
44057,TN-McKenzie,2194,5.50,6.00
44058,TN-McMinnville,8214,5.33,5.46
44059,TN-Memphis,148479,4.78,4.87
44060,TN-Milan,1977,5.60,5.83
44061,TN-Morristown,13998,5.96,6.14
44062,TN-Murfreesboro,19995,4.61,4.82
44063,TN-Nashville,86962,4.66,4.91
44064,TN-Newport,6757,6.14,6.07
44065,TN-Oak Ridge,16277,4.98,5.09
44066,TN-Oneida,3216,6.64,7.03
44067,TN-Paris,6854,5.18,5.24
44068,TN-Parsons,2746,6.61,6.86
44069,TN-Pikeville,1743,5.14,5.42
44070,TN-Portland,2907,5.45,6.10
44071,TN-Pulaski,4011,4.75,4.96
44072,TN-Ripley,3210,4.84,4.90
44073,TN-Rockwood,4882,5.62,6.39
44074,TN-Rogersville,3910,5.67,6.38
44075,TN-Savannah,4620,5.93,6.00
44076,TN-Selmer,3495,5.48,5.30
44077,TN-Sevierville,11528,5.04,5.32
44078,TN-Shelbyville,5590,5.69,5.58
44079,TN-Smithville,3146,6.06,6.30
44082,TN-South Pittsburg,2695,5.71,6.07
44083,TN-Sparta,5169,5.22,5.43
44084,TN-Springfield,7668,5.18,5.70
44085,TN-Sweetwater,7041,5.60,6.09
44086,TN-Tazewell,6080,6.30,6.65
44088,TN-Tullahoma,5502,4.83,4.87
44089,TN-Union City,6420,5.92,6.06
44090,TN-Waverly,2339,5.84,5.80
44091,TN-Waynesboro,1775,6.46,6.82
44093,TN-Winchester,8861,5.24,5.54
44094,TN-Woodbury,2056,5.87,6.25
44096,TN-Ashland City,2828,5.44,5.96
45001,TX-Abilene,23115,4.64,4.78
45003,TX-Alice,5743,5.02,6.30
45004,TX-Alpine,3764,3.78,3.86
45005,TX-Alvin,5826,5.65,6.06
45006,TX-Amarillo,40108,5.15,5.28
45007,TX-Anahuac,750,4.39,
45008,TX-Andrews,1627,5.01,5.24
45009,TX-Angleton,3843,4.96,5.27
45010,TX-Anson,614,4.40,
45011,TX-Aransas Pass,2069,5.36,5.95
45012,TX-Arlington,48036,4.36,4.80
45013,TX-Aspermont,324,,
45014,TX-Athens,14530,5.58,5.90
45015,TX-Atlanta,3451,4.82,5.46
45016,TX-Austin,136204,4.03,4.28
45017,TX-Azle,4329,5.00,6.13
45019,TX-Bay City,4286,4.95,5.13
45020,TX-Baytown,18443,5.36,5.83
45021,TX-Beaumont,33818,5.19,5.52
45022,TX-Bedford,24067,4.34,4.92
45023,TX-Beeville,3363,5.24,5.29
45024,TX-Bellville,1784,4.64,4.80
45026,TX-Big Spring,4313,5.56,5.90
45027,TX-Bonham,3330,5.31,5.40
45028,TX-Bowie,2486,5.18,5.43
45029,TX-Brady,1574,4.83,5.22
45030,TX-Breckenridge,1517,5.78,6.33
45031,TX-Brenham,7214,4.08,4.22
45034,TX-Brownsville,21140,4.21,4.93
45035,TX-Brownwood,9873,4.98,5.25
45036,TX-Bryan,21716,4.36,4.43
45038,TX-Burnet,2953,4.30,4.70
45039,TX-Caldwell,1943,5.20,5.82
45040,TX-Cameron,1529,4.67,5.34
45041,TX-Canadian,523,,
45042,TX-Canyon,2159,4.67,4.61
45043,TX-Carrizo Springs,2404,4.66,4.92
45045,TX-Carthage,3193,5.21,5.37
45048,TX-Childress,1410,5.49,5.78
45049,TX-Chillicothe,195,,
45051,TX-Clarksville,1622,5.37,5.66
45052,TX-Cleburne,6160,5.62,5.99
45053,TX-Cleveland,7191,5.47,5.85
45054,TX-Clifton,3772,5.49,6.10
45055,TX-Coleman,1390,5.61,5.71
45057,TX-Colorado City,1192,5.19,5.43
45058,TX-Columbus,1388,4.17,4.21
45059,TX-Comanche,1643,5.61,5.73
45060,TX-Conroe,26195,4.67,5.05
45061,TX-Corpus Christi,58149,4.69,5.24
45062,TX-Corsicana,8370,4.99,5.20
45064,TX-Crockett,2811,5.08,5.57
45065,TX-Crosbyton,407,,
45066,TX-Cuero,3216,4.92,5.14
45068,TX-Dallas,214110,4.31,4.58
45069,TX-De Leon,1574,3.99,3.97
45070,TX-Decatur,4906,5.11,5.56
45071,TX-Del Rio,7679,3.91,4.16
45072,TX-Denison,8426,5.33,5.65
45073,TX-Denton,29095,4.65,4.83
45076,TX-Dimmitt,966,4.88,5.00
45078,TX-Dumas,2367,5.30,5.44
45079,TX-Eagle Lake,1207,5.60,6.04
45080,TX-Eagle Pass,7316,4.31,4.94
45081,TX-Eastland,3122,5.74,5.33
45083,TX-Edinburg,9873,4.10,4.72
45085,TX-El Campo,2721,4.61,4.92
45086,TX-El Paso,98191,3.98,4.54
45088,TX-Electra,590,,
45089,TX-Ennis,3299,5.17,5.14
45090,TX-Fairfield,1194,5.37,6.00
45091,TX-Falfurrias,1276,4.88,5.99
45094,TX-Fort Stockton,1836,3.99,4.17
45095,TX-Fort Worth,128979,4.69,5.20
45096,TX-Fredericksburg,9815,3.72,3.78
45097,TX-Friona,635,5.13,5.06
45098,TX-Gainesville,4432,4.83,5.19
45099,TX-Galveston,7976,4.59,4.70
45100,TX-Garland,12179,4.39,4.61
45101,TX-Gatesville,2561,5.03,5.34
45102,TX-Georgetown,19646,3.32,3.33
45104,TX-Gilmer,3580,5.24,5.34
45106,TX-Glen Rose,1297,4.99,5.79
45109,TX-Gonzales,2274,5.43,5.68
45110,TX-Graham,2830,5.39,5.36
45111,TX-Granbury,12567,4.58,4.91
45112,TX-Grand Prairie,6669,4.71,4.93
45114,TX-Grapevine,10055,4.31,4.50
45115,TX-Greenville,12610,5.18,5.39
45116,TX-Groesbeck,1131,5.76,5.75
45119,TX-Hallettsville,2135,4.51,4.59
45120,TX-Hamilton,1645,5.62,6.16
45121,TX-Hamlin,436,,
45122,TX-Harlingen,26614,4.46,5.17
45123,TX-Haskell,1134,5.92,6.03
45124,TX-Hemphill,2036,4.75,4.91
45125,TX-Henderson,4371,4.46,4.96
45129,TX-Hillsboro,2457,4.85,5.13
45131,TX-Houston,387561,4.21,4.52
45133,TX-Humble,15284,5.26,5.90
45134,TX-Huntsville,7983,4.44,5.03
45135,TX-Iraan,173,,
45136,TX-Irving,13989,4.47,4.67
45138,TX-Jacksonville,5459,5.33,5.24
45139,TX-Jasper,4578,4.84,5.15
45140,TX-Jourdanton,3432,4.94,5.54
45141,TX-Junction,914,4.27,3.86
45142,TX-Katy,5254,3.83,4.22
45143,TX-Kaufman,3529,6.71,7.20
45144,TX-Kenedy,1094,5.28,5.27
45145,TX-Kermit,871,5.31,5.70
45146,TX-Kerrville,16427,4.24,4.31
45147,TX-Kilgore,3527,5.00,5.15
45148,TX-Killeen,18607,4.46,4.78
45149,TX-Kingsville,4409,4.16,4.71
45150,TX-Knox City,279,,
45151,TX-La Grange,3595,3.93,4.07
45152,TX-Lake Jackson,9064,5.29,6.05
45155,TX-Lancaster,2153,5.69,6.12
45156,TX-Laredo,26261,4.09,4.39
45158,TX-Lewisville,14482,4.54,4.86
45159,TX-Liberty,2356,5.85,5.93
45160,TX-Linden,3248,4.99,5.33
45163,TX-Llano,4862,4.44,4.88
45167,TX-Longview,23815,4.97,5.22
45168,TX-Lubbock,57284,5.02,5.21
45169,TX-Lufkin,29168,4.80,4.99
45170,TX-Luling,1807,4.68,4.84
45171,TX-Madisonville,3152,5.27,5.27
45173,TX-Marlin,1036,5.19,5.46
45174,TX-Marshall,5440,4.95,5.05
45175,TX-McAllen,53476,3.97,4.53
45176,TX-McCamey,310,,
45177,TX-McKinney,34128,4.01,4.25
45178,TX-Memphis,512,,
45180,TX-Mexia,3000,5.25,5.26
45181,TX-Midland,15015,4.70,4.79
45182,TX-Mineral Wells,6454,5.43,5.63
45185,TX-Monahans,1471,4.89,5.06
45187,TX-Mount Pleasant,4211,4.63,4.72
45188,TX-Mount Vernon,1593,4.23,4.45
45189,TX-Muenster,667,5.45,5.04
45191,TX-Nacogdoches,14854,5.15,5.32
45194,TX-Navasota,2329,5.26,5.38
45196,TX-New Braunfels,17275,3.84,4.01
45197,TX-Nocona,1570,5.96,5.75
45198,TX-Odessa,15158,5.10,5.29
45199,TX-Olney,907,6.79,6.82
45200,TX-Orange,7532,5.20,5.43
45201,TX-Palacios,1094,4.16,4.72
45202,TX-Palestine,9756,5.25,5.34
45203,TX-Pampa,3645,5.50,5.44
45204,TX-Paris,14474,5.35,5.57
45205,TX-Pasadena,21282,4.94,5.56
45207,TX-Pecos,1828,3.52,3.84
45208,TX-Perryton,1335,5.86,5.96
45209,TX-Pittsburg,2361,5.01,5.25
45211,TX-Plano,38278,3.96,4.21
45212,TX-Port Arthur,16036,4.81,5.10
45213,TX-Port Lavaca,2832,4.57,4.99
45215,TX-Quanah,571,,
45216,TX-Quitman,2856,5.64,6.11
45218,TX-Rankin,143,,
45219,TX-Refugio,1166,5.61,5.81
45221,TX-Richmond,16201,4.42,4.94
45223,TX-Rockdale,2825,4.80,5.26
45224,TX-Rotan,707,5.71,5.78
45225,TX-Round Rock,12371,4.01,4.12
45226,TX-Rowlett,15381,4.91,5.21
45228,TX-San Angelo,21654,4.77,5.02
45229,TX-San Antonio,241113,4.33,4.54
45232,TX-San Marcos,6561,3.86,4.17
45233,TX-Seguin,8910,4.90,5.11
45235,TX-Seymour,1267,4.65,4.87
45236,TX-Shamrock,484,,
45237,TX-Sherman,15200,4.89,5.20
45240,TX-Snyder,2274,4.52,4.85
45241,TX-Sonora,617,,
45245,TX-Stephenville,5556,4.78,5.07
45246,TX-Sulphur Springs,5510,4.62,4.79
45248,TX-Sweetwater,2576,5.32,5.51
45250,TX-Taylor,8191,4.06,4.20
45251,TX-Temple,21048,4.69,5.30
45252,TX-Terrell,7696,5.00,5.09
45253,TX-Texarkana,14388,4.84,4.86
45254,TX-Texas City,11715,4.86,5.22
45257,TX-Tomball,20656,4.73,5.09
45258,TX-Trinity,2330,4.72,5.10
45260,TX-Tyler,52917,4.69,4.86
45261,TX-Uvalde,3667,5.18,5.09
45263,TX-Vernon,2383,5.49,5.59
45264,TX-Victoria,19372,4.45,4.65
45265,TX-Waco,32574,4.86,5.40
45266,TX-Waxahachie,11622,4.99,5.16
45267,TX-Weatherford,12284,4.89,5.10
45268,TX-Webster,32504,4.22,4.47
45269,TX-Weimar,2738,4.36,4.40
45270,TX-Wellington,506,,
45271,TX-Weslaco,16613,3.90,4.43
45273,TX-Wharton,3656,4.52,4.74
45274,TX-Wheeler,437,,
45275,TX-Whitney,2449,4.68,5.03
45276,TX-Wichita Falls,21791,4.98,5.08
45277,TX-Winnie,1251,5.26,6.14
45278,TX-Winnsboro,2659,5.08,5.37
45279,TX-Winters,673,3.95,4.26
45280,TX-Woodville,2822,5.25,5.42
45281,TX-Wylie,4418,4.97,5.27
46001,UT-American Fork,11971,3.93,4.47
46002,UT-Beaver,613,,
46003,UT-Bountiful,12177,3.68,3.81
46004,UT-Brigham City,4073,4.70,5.03
46005,UT-Cedar City,5065,4.32,4.66
46006,UT-Delta,999,3.77,3.83
46007,UT-Fillmore,809,3.31,3.43
46008,UT-Gunnison,1883,3.96,4.09
46010,UT-Kanab,1576,5.19,5.35
46011,UT-Layton,15404,4.35,4.43
46012,UT-Logan,10478,3.67,3.81
46013,UT-Milford,292,,
46014,UT-Moab,1505,4.25,4.32
46015,UT-Monticello,1124,5.88,5.77
46016,UT-Monument Valley,172,,
46017,UT-Mount Pleasant,2175,4.00,4.03
46019,UT-Nephi,1057,4.89,4.96
46020,UT-Ogden,27755,4.39,4.58
46022,UT-Panguitch,1025,3.97,4.13
46023,UT-Payson,8381,4.52,4.82
46024,UT-Price,4681,4.91,4.94
46025,UT-Provo,20859,4.23,4.51
46026,UT-Richfield,2971,5.21,5.27
46027,UT-Roosevelt,2692,5.00,5.21
46028,UT-Salt Lake City,112254,4.24,4.49
46030,UT-St. George,29794,3.77,3.97
46032,UT-Tremonton,1704,4.78,5.24
46033,UT-Vernal,2614,3.84,4.22
47002,VT-Bennington,9512,4.50,4.57
47003,VT-Berlin,11060,4.24,4.25
47004,VT-Brattleboro,5469,4.03,4.13
47005,VT-Burlington,22546,4.05,4.13
47006,VT-Middlebury,5290,3.95,4.19
47007,VT-Morrisville,4425,3.84,3.90
47008,VT-Newport,5131,4.53,4.60
47009,VT-Randolph,3307,3.72,3.81
47010,VT-Rutland,12254,4.56,4.63
47011,VT-Springfield,6180,3.64,3.73
47012,VT-St. Albans,6909,4.11,4.20
47013,VT-St. Johnsbury,4790,4.66,4.84
47014,VT-Townshend,1088,4.77,4.85
47015,VT-Windsor,1731,4.62,4.71
49001,VA-Abingdon,10698,4.45,4.59
49002,VA-Alexandria,31960,3.38,3.45
49003,VA-Arlington,25936,3.65,3.65
49004,VA-Bedford,8212,3.97,4.13
49005,VA-Big Stone Gap,2424,5.80,5.80
49006,VA-Blacksburg,8975,3.95,4.02
49007,VA-Charlottesville,39973,4.06,4.08
49008,VA-Chesapeake,19679,4.76,4.95
49009,VA-Clintwood,2342,5.72,5.87
49010,VA-Culpeper,6833,4.27,4.39
49011,VA-Danville,19081,4.80,4.95
49012,VA-Emporia,4860,4.91,5.03
49013,VA-Fairfax,12451,3.23,3.36
49014,VA-Falls Church,74160,3.28,3.27
49015,VA-Farmville,5279,4.30,4.29
49016,VA-Franklin,4302,4.42,4.83
49017,VA-Fredericksburg,38007,4.20,4.32
49018,VA-Front Royal,5396,5.18,5.31
49019,VA-Galax,9198,5.15,5.40
49020,VA-Gloucester,9929,4.04,4.00
49021,VA-Grundy,3316,5.93,6.13
49022,VA-Hampton,11264,4.66,4.73
49023,VA-Harrisonburg,22483,3.87,3.93
49024,VA-Hopewell,5706,5.02,5.11
49025,VA-Hot Springs,1203,5.86,6.20
49026,VA-Kilmarnock,9410,3.78,3.95
49027,VA-Lebanon,5010,5.00,4.86
49028,VA-Leesburg,21341,3.38,3.45
49029,VA-Lexington,6418,4.18,4.18
49030,VA-Low Moor,5104,4.91,5.16
49031,VA-Luray,3640,4.92,4.96
49032,VA-Lynchburg,39012,4.58,4.69
49033,VA-Manassas,20855,4.19,4.33
49034,VA-Marion,6432,4.97,5.16
49035,VA-Martinsville,14580,4.71,4.80
49036,VA-Nassawadox,6949,4.72,4.98
49037,VA-Newport News,42296,4.31,4.35
49038,VA-Norfolk,39178,4.78,4.90
49039,VA-Norton,4876,5.94,6.05
49040,VA-Pearisburg,4095,5.40,5.98
49041,VA-Pennington Gap,3044,5.19,6.13
49042,VA-Petersburg,17574,4.93,4.83
49043,VA-Portsmouth,24764,4.30,4.29
49044,VA-Pulaski,3538,5.89,6.27
49045,VA-Radford,6649,4.60,5.01
49046,VA-Reston,20297,3.20,3.19
49047,VA-Richlands,5080,5.46,5.49
49048,VA-Richmond,150241,4.30,4.48
49049,VA-Roanoke,44036,4.41,4.50
49050,VA-Rocky Mount,4940,4.54,4.97
49051,VA-Salem,9980,4.45,4.42
49052,VA-South Boston,11435,4.55,4.74
49053,VA-South Hill,6226,4.33,4.48
49054,VA-Staunton,21814,4.66,4.78
49055,VA-Stuart,3347,4.54,4.80
49056,VA-Suffolk,11277,4.33,4.46
49057,VA-Tappahannock,5660,4.19,4.39
49058,VA-Tazewell,2435,5.55,5.62
49059,VA-Virginia Beach,37672,4.17,4.33
49060,VA-Warrenton,10976,4.42,4.39
49062,VA-Williamsburg,22254,3.42,3.50
49063,VA-Winchester,24559,4.74,4.73
49065,VA-Woodbridge,17754,4.21,4.39
49066,VA-Woodstock,5325,4.17,4.14
49067,VA-Wytheville,6460,5.09,4.98
50001,WA-Aberdeen,10979,4.92,5.04
50002,WA-Anacortes,10268,3.12,3.16
50003,WA-Arlington,5978,4.58,4.96
50004,WA-Auburn,12467,4.05,4.24
50005,WA-Bellevue,38143,3.33,3.49
50006,WA-Bellingham,31943,3.77,4.13
50007,WA-Bremerton,37432,4.43,4.46
50008,WA-Brewster,2174,4.47,4.55
50009,WA-Centralia,13134,4.09,4.49
50010,WA-Chelan,2031,3.83,4.42
50011,WA-Chewelah,1979,5.12,5.12
50012,WA-Clarkston,4501,4.08,4.25
50013,WA-Colfax,1243,4.80,4.98
50014,WA-Colville,4648,4.48,4.29
50015,WA-Coupeville,13016,3.51,3.73
50016,WA-Davenport,1051,4.41,4.27
50017,WA-Dayton,899,4.52,4.54
50018,WA-Edmonds,24058,3.62,3.95
50019,WA-Ellensburg,6100,3.70,3.78
50020,WA-Enumclaw,4492,4.33,4.31
50022,WA-Everett,40960,4.67,5.21
50023,WA-Federal Way,11022,4.11,4.23
50024,WA-Forks,928,4.78,4.98
50025,WA-Goldendale,1747,4.26,4.39
50026,WA-Grand Coulee,1096,4.17,4.09
50027,WA-Ilwaco,3230,4.41,4.59
50028,WA-Kennewick,11341,4.30,4.30
50029,WA-Kirkland,22298,3.44,3.62
50031,WA-Longview,20229,4.80,5.33
50033,WA-Monroe,4215,4.26,4.25
50034,WA-Morton,1531,4.97,5.83
50035,WA-Moses Lake,5878,4.00,4.36
50036,WA-Mount Vernon,24134,4.03,4.44
50039,WA-Olympia,41802,4.25,4.47
50040,WA-Omak,3008,4.19,4.34
50041,WA-Othello,1807,4.69,4.82
50042,WA-Pasco,7369,3.98,4.16
50044,WA-Port Angeles,18725,3.89,3.93
50045,WA-Port Townsend,9387,3.46,3.52
50046,WA-Prosser,1554,3.52,3.63
50047,WA-Pullman,1977,3.79,3.78
50048,WA-Puyallup,32247,4.37,4.48
50050,WA-Renton,32722,3.79,4.04
50051,WA-Republic,1065,4.00,4.08
50052,WA-Richland,11075,4.26,4.23
50053,WA-Ritzville,502,,
50054,WA-Seattle,138018,3.80,3.99
50056,WA-Shelton,8207,4.32,4.50
50058,WA-South Bend,1802,5.64,5.79
50059,WA-Spokane,82023,4.32,4.47
50060,WA-Sunnyside,3963,3.89,3.88
50061,WA-Tacoma,71554,4.38,4.50
50062,WA-Tonasket,2353,4.70,4.96
50063,WA-Toppenish,1142,4.87,5.23
50064,WA-Vancouver,62960,4.19,4.60
50065,WA-Walla Walla,11568,3.92,3.99
50066,WA-Wenatchee,20026,4.34,4.60
50067,WA-White Salmon,2941,4.12,4.24
50068,WA-Yakima,26053,4.24,4.38
51001,WV-Beckley,17057,5.43,5.66
51002,WV-Berkeley Springs,3609,4.42,4.26
51003,WV-Bluefield,10326,5.57,5.82
51004,WV-Buckhannon,4353,5.19,5.55
51005,WV-Charleston,30289,5.19,5.55
51006,WV-Clarksburg,13699,5.25,5.35
51007,WV-Elkins,8407,5.42,5.68
51008,WV-Fairmont,10058,4.64,4.62
51009,WV-Gassaway,2105,5.37,5.96
51010,WV-Glen Dale,5089,5.23,5.12
51011,WV-Grafton,1905,4.78,5.14
51012,WV-Grantsville,912,5.63,5.51
51013,WV-Hinton,2104,5.84,6.25
51014,WV-Huntington,30539,5.57,5.89
51015,WV-Hurricane,7242,5.16,5.52
51017,WV-Kingwood,1638,4.13,4.55
51018,WV-Logan,5163,6.52,6.43
51020,WV-Man,2000,7.58,8.98
51021,WV-Marlinton,1170,4.66,5.73
51022,WV-Martinsburg,14967,5.38,5.49
51023,WV-Montgomery,1697,5.96,5.49
51024,WV-Morgantown,15417,4.76,5.24
51025,WV-New Martinsville,4067,5.41,5.66
51026,WV-Oak Hill,4826,5.85,6.26
51027,WV-Parkersburg,23106,5.28,5.64
51028,WV-Petersburg,4059,4.94,5.24
51029,WV-Philippi,1723,4.65,5.02
51030,WV-Point Pleasant,4400,5.13,5.09
51031,WV-Princeton,7989,5.42,5.97
51032,WV-Ranson,6297,4.83,4.91
51033,WV-Richwood,722,3.27,
51034,WV-Ripley,5165,4.58,4.82
51035,WV-Romney,1463,5.00,5.21
51036,WV-Ronceverte,9326,4.77,4.95
51037,WV-Sistersville,603,,
51038,WV-South Charleston,11614,5.26,6.02
51039,WV-Spencer,3054,5.12,5.66
51040,WV-Summersville,4793,5.21,5.34
51041,WV-Webster Springs,842,6.80,
51042,WV-Weirton,9084,4.77,5.24
51043,WV-Weston,4698,5.59,6.11
51044,WV-Wheeling,17008,4.86,5.01
51045,WV-Williamson,2541,7.85,8.25
52001,WI-Amery,2664,4.00,4.61
52002,WI-Antigo,5045,4.43,5.14
52003,WI-Appleton,28625,4.07,4.85
52004,WI-Arcadia,671,5.20,
52005,WI-Ashland,5762,4.57,5.28
52006,WI-Baldwin,1627,4.09,4.47
52007,WI-Baraboo,6426,4.05,4.68
52008,WI-Barron,3057,4.15,4.96
52009,WI-Beaver Dam,7410,4.56,4.89
52010,WI-Beloit,8891,5.05,5.41
52011,WI-Berlin,8656,4.83,5.44
52012,WI-Black River Falls,2829,5.16,6.38
52013,WI-Bloomer,1894,3.93,4.69
52014,WI-Boscobel,1154,3.82,3.78
52015,WI-Brookfield,9078,3.82,4.14
