HSA Number,HSA Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
34043,NC-Highlands,2111,3.27,3.23
34044,NC-Jacksonville,13683,4.89,4.79
34045,NC-Jefferson,5348,4.98,5.51
34046,NC-Kenansville,7538,5.22,5.42
34047,NC-Kings Mountain,4263,5.27,5.80
34048,NC-Kinston,12558,5.34,5.34
34049,NC-Laurinburg,6930,4.80,5.33
34050,NC-Lenoir,10373,5.32,5.79
34051,NC-Lexington,13243,5.58,6.49
34052,NC-Lincolnton,6807,5.34,5.29
34053,NC-Louisburg,5634,5.10,5.72
34054,NC-Lumberton,14512,5.38,5.59
34055,NC-Marion,8075,5.43,5.93
34056,NC-Mocksville,7432,4.77,5.45
34057,NC-Monroe,14554,5.06,5.44
34058,NC-Mooresville,9843,4.79,4.91
34059,NC-Morehead City,15141,4.70,4.85
34060,NC-Morganton,9614,5.05,5.25
34061,NC-Mount Airy,10591,4.96,5.72
34062,NC-Murphy,7449,4.76,5.00
34063,NC-New Bern,21769,4.51,4.60
34064,NC-North Wilkesboro,10355,4.73,5.00
34065,NC-Oxford,4501,4.39,4.87
34066,NC-Pinehurst,25257,3.90,4.17
34067,NC-Plymouth,2475,4.00,4.17
34068,NC-Raleigh,124388,4.08,4.23
34069,NC-Reidsville,7292,4.96,5.81
34070,NC-Roanoke Rapids,10154,4.67,4.86
34071,NC-Rockingham,4176,5.17,5.59
34072,NC-Rocky Mount,19601,4.88,4.99
34073,NC-Roxboro,5390,4.73,5.46
34074,NC-Rutherfordton,12650,5.58,5.88
34075,NC-Salisbury,17932,4.91,5.10
34076,NC-Sanford,7088,4.79,5.04
34079,NC-Shelby,14793,5.05,5.36
34080,NC-Siler City,3261,4.46,5.03
34081,NC-Smithfield,10660,4.82,4.90
34082,NC-Southport,8861,4.20,4.37
34083,NC-Sparta,2677,4.20,4.21
34084,NC-Spruce Pine,7337,4.81,4.91
34085,NC-Statesville,17687,5.20,5.66
34086,NC-Supply,9577,4.71,4.73
34087,NC-Sylva,5575,4.17,4.42
34088,NC-Tarboro,4704,5.40,5.36
34089,NC-Taylorsville,4271,5.26,5.50
34090,NC-Thomasville,6974,5.22,5.55
34091,NC-Troy,3034,4.63,4.94
34092,NC-Valdese,4394,5.17,5.41
34093,NC-Wadesboro,2790,5.16,5.41
34094,NC-Washington,2676,4.61,4.63
34095,NC-Whiteville,6682,5.49,5.54
34096,NC-Williamston,8437,5.10,5.14
34097,NC-Wilmington,47034,4.22,4.27
34098,NC-Wilson,14456,4.77,4.89
34099,NC-Windsor,1584,5.60,5.76
34100,NC-Winston-Salem,68841,4.47,5.00
34102,NC-Cherokee,884,5.98,6.25
35001,ND-Ashley,413,,
35002,ND-Bismarck,20107,3.83,4.17
35003,ND-Bottineau,954,4.23,4.10
35004,ND-Bowman,466,,
35005,ND-Cando,404,,
35006,ND-Carrington,1702,4.12,4.13
35007,ND-Cavalier,1357,3.83,4.05
35008,ND-Cooperstown,590,4.00,4.32
35009,ND-Crosby,423,,
35010,ND-Devils Lake,2256,4.67,4.70
35011,ND-Dickinson,4390,3.81,4.04
35012,ND-Elgin,416,,
35014,ND-Fargo/Moorhead MN,28407,3.99,4.12
35017,ND-Grand Forks,11464,3.87,4.04
35019,ND-Harvey,719,2.82,3.00
35020,ND-Hazen,1379,4.73,5.27
35021,ND-Hettinger,2324,4.18,4.55
35022,ND-Hillsboro,432,,
35023,ND-Jamestown,4169,4.51,5.16
35025,ND-Langdon,1016,3.33,3.27
35026,ND-Linton,1034,3.50,4.29
35027,ND-Lisbon,630,4.79,4.66
35029,ND-Mayville,1120,5.29,5.81
35030,ND-McVille,343,,
35031,ND-Minot,11777,4.02,4.29
35034,ND-Northwood,475,,
35035,ND-Oakes,1116,4.42,4.57
35036,ND-Park River,631,5.39,5.64
35038,ND-Rolla,1314,5.43,5.67
35039,ND-Rugby,1343,4.93,5.65
35040,ND-Stanley,443,,
35041,ND-Tioga,704,3.25,3.32
35042,ND-Turtle Lake,313,,
35043,ND-Valley City,2216,3.70,3.56
35044,ND-Watford City,652,4.07,4.16
35045,ND-Williston,2837,5.74,5.80
35046,ND-Wishek,866,4.09,4.86
36001,OH-Akron,70375,4.53,5.17
36002,OH-Alliance,8335,4.77,5.47
36004,OH-Ashland,7041,4.46,4.92
36005,OH-Ashtabula,8372,4.72,5.08
36006,OH-Athens,5014,4.07,4.97
36007,OH-Barberton,10120,4.83,5.46
36008,OH-Barnesville,4285,4.78,5.49
36009,OH-Batavia,9619,4.94,5.84
36010,OH-Bedford,5465,4.26,4.64
36011,OH-Bellaire,3728,4.94,6.23
36012,OH-Bellefontaine,7946,5.04,5.07
36013,OH-Bellevue,3683,4.61,4.85
36014,OH-Bluffton,1525,3.99,4.34
36015,OH-Bowling Green,7655,4.73,5.11
36016,OH-Bryan,7138,4.47,5.02
36017,OH-Bucyrus,3817,5.32,5.77
36018,OH-Cadiz,1812,5.60,6.23
36019,OH-Cambridge,9630,4.91,5.66
36020,OH-Canton,48203,4.51,5.14
36021,OH-Chardon,8751,4.35,4.82
36022,OH-Chillicothe,11837,5.33,5.86
36023,OH-Cincinnati,158355,4.52,4.82
36024,OH-Circleville,4390,4.77,5.55
36025,OH-Cleveland,127977,4.12,4.42
36026,OH-Coldwater,6030,4.37,4.55
36027,OH-Columbus,166441,4.42,4.94
36028,OH-Conneaut,3010,4.42,4.83
36029,OH-Coshocton,5656,4.86,5.37
36032,OH-Dayton,73411,4.70,4.92
36033,OH-Defiance,5920,4.42,4.60
36034,OH-Delaware,7630,4.75,5.27
36035,OH-Dennison,3020,5.59,5.67
36036,OH-Dover,10707,4.24,4.77
36037,OH-East Liverpool,7344,5.34,5.52
36038,OH-Elyria,18529,4.60,5.04
36039,OH-Euclid,7574,4.59,4.87
36040,OH-Findlay,11960,4.45,4.79
36041,OH-Fostoria,3380,4.54,4.65
36042,OH-Fremont,6778,4.50,4.59
36043,OH-Galion,4583,5.21,5.17
36044,OH-Gallipolis,11397,5.71,6.01
36045,OH-Garfield Heights,7077,4.71,5.35
36046,OH-Geneva,2986,4.80,5.08
36047,OH-Georgetown,4796,5.14,6.64
36048,OH-Greenfield,1562,4.76,6.20
36049,OH-Greenville,8062,4.42,4.54
36050,OH-Hamilton,24225,4.73,4.91
36051,OH-Hicksville,988,4.58,4.78
36052,OH-Hillsboro,4165,5.26,5.67
36053,OH-Ironton,4610,5.52,5.89
36054,OH-Kenton,3329,5.71,5.70
36055,OH-Kettering,42166,4.23,4.51
36056,OH-Lakewood,5796,4.39,4.74
36057,OH-Lancaster,14267,4.54,5.15
36058,OH-Lima,26657,4.64,4.91
36059,OH-Lodi,1586,4.66,5.02
36060,OH-Logan,3965,5.07,5.50
36061,OH-London,2908,4.96,6.04
36062,OH-Lorain,22851,4.57,4.90
36063,OH-Loudonville,1022,4.81,6.52
36064,OH-Mansfield,19547,4.95,5.26
36065,OH-Marietta,10388,4.81,5.08
36066,OH-Marion,11740,4.85,5.27
36067,OH-Martins Ferry,3856,4.93,5.42
36068,OH-Marysville,4085,4.60,5.49
36069,OH-Massillon,18259,4.47,5.34
36070,OH-Maumee,16247,4.62,4.87
36071,OH-Mayfield Heights,13204,3.46,3.54
36072,OH-Medina,12424,4.38,4.41
36074,OH-Middletown,18200,4.93,5.68
36075,OH-Millersburg,3837,5.06,5.89
36076,OH-Mount Gilead,2750,4.77,5.30
36077,OH-Mount Vernon,10225,4.61,5.13
36078,OH-Napoleon,3242,4.26,4.36
36079,OH-Nelsonville,2121,5.35,5.89
36080,OH-Newark,17839,5.03,5.29
36081,OH-Norwalk,7210,4.63,5.12
36083,OH-Oberlin,3933,4.28,4.59
36084,OH-Oregon,12423,5.22,5.47
36085,OH-Orrville,2432,4.31,5.22
36086,OH-Oxford,5673,4.19,4.59
36087,OH-Painesville,37298,4.31,4.59
36088,OH-Parma/Middleburg Heights,53267,4.32,4.68
36089,OH-Paulding,2278,4.68,5.25
36090,OH-Piqua,7286,4.67,5.16
36091,OH-Pomeroy,2259,3.99,4.24
36092,OH-Port Clinton,6309,4.33,4.98
36093,OH-Portsmouth,15073,5.95,6.41
36094,OH-Ravenna,18312,4.84,5.61
36095,OH-Salem,13349,4.84,5.53
36096,OH-Sandusky,12333,4.63,5.04
36097,OH-Shelby,2706,4.29,4.75
36098,OH-Sidney,5802,4.47,4.87
36099,OH-Springfield,20010,5.01,5.22
36100,OH-St. Marys,4461,4.13,4.43
36101,OH-Steubenville,11027,5.16,5.68
36102,OH-Sylvania,7675,4.16,4.64
36103,OH-Tiffin,6107,4.29,4.55
36104,OH-Toledo,49260,4.78,5.29
36105,OH-Troy,10213,4.31,4.87
36106,OH-Upper Sandusky,2513,5.02,5.41
36107,OH-Urbana,4935,5.40,6.86
36108,OH-Van Wert,4854,4.92,5.36
36109,OH-Wadsworth,7843,4.84,5.20
36110,OH-Warren,31594,4.75,5.04
36112,OH-Washington Court House,4209,5.55,6.52
36113,OH-Wauseon,5187,3.93,4.08
36114,OH-Waverly,3837,4.17,4.42
36116,OH-West Union,4053,5.37,6.19
36118,OH-Westlake,12293,4.12,4.37
36119,OH-Willard,2679,4.53,4.91
36120,OH-Wilmington,8189,4.78,5.47
36121,OH-Wooster,12292,4.45,4.59
36122,OH-Xenia,9317,4.20,4.68
36123,OH-Youngstown,49369,4.52,4.97
36124,OH-Zanesville,20918,5.12,5.77
37001,OK-Ada,7368,5.37,5.35
37002,OK-Altus,3702,5.67,5.76
37003,OK-Alva,1423,4.60,4.69
37004,OK-Anadarko,1450,5.31,5.34
37005,OK-Antlers,1991,5.49,5.50
37006,OK-Ardmore,8728,5.62,5.52
37007,OK-Atoka,1815,5.57,5.40
37008,OK-Bartlesville,12057,4.66,4.64
37009,OK-Beaver,518,,
37011,OK-Blackwell,1464,5.25,5.67
37015,OK-Buffalo,292,,
37016,OK-Carnegie,844,4.45,4.45
37018,OK-Cheyenne,389,,
37019,OK-Chickasha,8405,5.87,5.90
37020,OK-Claremore,8690,4.98,5.27
37022,OK-Clinton,2274,5.21,5.32
37023,OK-Coalgate,883,7.10,7.14
37024,OK-Cordell,820,5.03,5.35
37025,OK-Cushing,1737,5.51,5.76
37026,OK-Drumright,878,6.03,7.46
37027,OK-Duncan,7717,5.84,5.86
37028,OK-Durant,6153,5.66,5.72
37029,OK-Edmond,5351,4.09,4.19
37030,OK-El Reno,3079,5.56,5.49
37031,OK-Elk City,2332,5.72,5.89
37032,OK-Enid,12075,4.65,4.72
37033,OK-Eufaula,2398,5.68,5.77
37034,OK-Fairfax,681,4.96,5.25
37035,OK-Fairview,773,3.30,3.19
37036,OK-Frederick,868,6.49,6.70
37037,OK-Grove,7199,4.72,4.86
37038,OK-Guthrie,4719,4.89,5.13
37039,OK-Guymon,1662,5.27,5.53
37042,OK-Hobart,1569,6.21,6.40
37043,OK-Holdenville,1214,6.43,6.68
37044,OK-Hollis,467,,
37047,OK-Idabel,3999,5.85,6.02
37048,OK-Kingfisher,1219,6.16,6.29
37049,OK-Lawton,14896,5.28,5.33
37050,OK-Lindsay,1026,4.29,4.26
37051,OK-Madill,2944,5.82,5.93
37052,OK-Mangum,806,5.17,5.31
37053,OK-Marietta,1620,5.36,5.51
37054,OK-McAlester,7526,5.73,5.85
37055,OK-Miami,5168,5.86,5.87
37056,OK-Midwest City,13216,4.81,4.93
37058,OK-Muskogee,14199,5.29,5.34
37059,OK-Norman,16422,4.62,4.70
37062,OK-Okeene,803,4.60,4.75
37063,OK-Oklahoma City,112784,4.88,4.97
37064,OK-Okmulgee,3301,5.12,5.25
37065,OK-Pauls Valley,3018,5.66,5.79
37066,OK-Pawhuska,1083,5.09,5.12
37067,OK-Pawnee,701,3.96,3.97
37068,OK-Perry,1277,4.26,4.45
37069,OK-Ponca City,7011,5.29,5.37
37070,OK-Poteau,4651,5.67,5.89
37071,OK-Prague,1035,4.53,5.01
37072,OK-Pryor,3043,5.70,5.77
37073,OK-Purcell,2375,5.49,5.44
37074,OK-Sallisaw,3402,6.17,6.13
37075,OK-Sapulpa,4830,5.19,5.87
37076,OK-Sayre,1035,5.00,5.18
37077,OK-Seiling,765,4.65,4.69
37079,OK-Shattuck,1005,3.88,3.84
37080,OK-Shawnee,9976,5.82,6.00
37081,OK-Stigler,2156,5.44,5.29
37082,OK-Stillwater,7904,4.13,4.21
37083,OK-Stroud,763,7.15,6.60
37084,OK-Sulphur,1473,5.31,5.11
37085,OK-Tahlequah,6061,5.99,5.98
37087,OK-Tishomingo,1590,4.82,5.03
37088,OK-Tulsa,113800,4.74,5.07
37089,OK-Vinita,2155,4.48,4.75
37090,OK-Wagoner,2711,6.32,6.81
37091,OK-Watonga,794,4.06,4.28
37092,OK-Waurika,780,7.65,8.17
37093,OK-Weatherford,1915,5.15,5.20
37094,OK-Wetumka,478,,
37096,OK-Wilburton,957,5.70,5.77
37097,OK-Woodward,3356,4.22,4.27
37101,OK-Stilwell,1891,5.65,5.70
38001,OR-Albany,11060,4.63,4.91
38002,OR-Ashland,5581,3.42,3.50
38003,OR-Astoria,4891,4.58,4.60
38004,OR-Baker,3751,4.30,4.44
38006,OR-Bend,28034,3.84,3.86
38007,OR-Burns,1518,3.86,4.19
38010,OR-Coos Bay,17252,4.87,4.99
38012,OR-Corvallis,11148,3.93,4.27
38013,OR-Cottage Grove,3936,4.78,5.53
38014,OR-Dallas,4471,4.01,4.61
38015,OR-Enterprise,1860,3.98,4.07
38016,OR-Eugene,39738,4.11,4.49
38017,OR-Florence,5963,4.22,4.79
38019,OR-Gold Beach,1534,5.17,5.50
38020,OR-Grants Pass,22846,4.41,4.48
38022,OR-Heppner,660,3.17,
38023,OR-Hermiston,5157,4.02,3.88
38024,OR-Hillsboro,16519,4.22,4.62
38025,OR-Hood River,3222,4.12,4.06
38026,OR-John Day,1742,3.49,3.57
38027,OR-Klamath Falls,12547,4.56,4.57
38028,OR-La Grande,4502,4.46,4.82
38029,OR-Lakeview,1143,3.89,3.95
38030,OR-Lebanon,9765,4.91,5.14
38031,OR-Lincoln City,5409,3.79,4.01
38032,OR-Madras,2128,5.89,6.29
38033,OR-McMinnville,10791,4.42,4.88
38034,OR-Medford,34479,4.39,4.69
38037,OR-Newberg,5013,4.18,5.03
38038,OR-Newport,6899,3.67,3.87
38040,OR-Ontario,8652,4.51,4.59
38041,OR-Oregon City,17568,4.61,5.05
38042,OR-Pendleton,3960,4.74,4.33
38043,OR-Portland,179941,3.96,4.31
38044,OR-Prineville,4498,4.28,4.24
38045,OR-Redmond,6455,3.48,3.47
38047,OR-Roseburg,21972,4.30,4.30
38048,OR-Salem,44556,4.32,4.95
38049,OR-Seaside,2411,4.57,4.71
38050,OR-Silverton,3476,4.58,5.36
38051,OR-Springfield,12231,4.78,5.27
38054,OR-The Dalles,6773,4.26,4.45
38055,OR-Tillamook/Wheeler,4748,4.24,4.30
38056,OR-Tualatin,12901,3.81,4.08
39001,PA-Abington,21493,4.33,4.49
39002,PA-Aliquippa,6753,4.27,4.96
39003,PA-Allentown,60187,4.23,4.34
39004,PA-Altoona,21180,4.64,5.07
39005,PA-Ashland,1891,5.31,6.05
39006,PA-Beaver,20379,4.75,5.25
39007,PA-Berwick,6447,4.39,5.13
39008,PA-Bethlehem,25684,4.23,4.44
39009,PA-Bloomsburg,6927,4.84,5.35
39010,PA-Braddock,1677,4.50,5.33
39011,PA-Bradford,5087,4.75,4.95
39012,PA-Bristol,6379,4.84,5.74
39013,PA-Brookville,4472,4.79,5.29
39014,PA-Brownsville,2782,4.85,5.09
39015,PA-Bryn Mawr,23587,3.45,3.52
39016,PA-Butler,14795,4.84,5.14
39017,PA-Coatesville,11498,4.39,4.59
39018,PA-Camp Hill,31307,3.95,4.31
39019,PA-Canonsburg,7868,4.82,5.68
39020,PA-Carbondale,6247,4.91,5.31
39021,PA-Carlisle,16256,4.33,4.48
39022,PA-Chambersburg,21405,4.32,4.36
39024,PA-Clarion,4851,5.18,5.31
39025,PA-Clearfield,8188,4.56,4.54
39026,PA-Coaldale,4646,4.80,5.06
39028,PA-Connellsville,5016,5.16,5.17
39029,PA-Corry,2687,4.73,5.26
39030,PA-Coudersport,3318,4.91,5.42
39031,PA-Danville,7787,4.70,4.97
39032,PA-Darby,8970,5.31,5.35
39033,PA-Doylestown,22673,4.02,4.18
39034,PA-Drexel Hill,14730,4.30,4.45
39035,PA-Dubois,8204,4.27,4.48
